"","strata","weights"
"1","Samarraidp",1.1993
"2","Erbilidp",7.3911
"3","Ramadireturnee",1.9766
"4","Shirqatreturnee",0.6748
"5","Sumelidp",3.7203
"6","Sumelidp_camp",1.2628
"7","Tilkaifidp",1.203
"8","Amediidp_camp",0.3432
"9","Fallujaidp_camp",2.4017
"11","Fallujareturnee",3.6436
"12","Mosulidp_camp",2.0696
"13","Heetidp",0.1632
"14","Darbandihkanidp",0.2235
"15","Adhamiaidp",0.4352
"16","Amediidp",0.2035
"17","Kadhimiaidp",0.2847
"18","Resafaidp_camp",0.0884
"19","Dahukidp",1.5431
"21","Khalisreturnee",0.1009
"22","Zakhoidp_camp",0.3661
"23","Daquqidp",0.3526
"24","Kifriidp",0.3637
"25","Makhmurreturnee",0.3472
"26","Heetreturnee",1.4379
"27","Daquqidp_camp",0.6475
"28","Sinjaridp",0.9391
"30","Telafaridp",0.7419
"31","Hamdaniyaidp_camp",0.5018
"35","Daquqidp_camp",0.1882
"36","Kirkukreturnee",1.2414
"37","Kalaridp",0.6971
"39","Sinjarreturnee",0.4397
"40","Mosulidp_camp",3.843
"41","Shikhanidp",1.0191
"42","Tikritidp_camp",0.269
"43","Kutidp",0.2859
"44","Zakhoidp_camp",0.8229
"45","Hadithaidp",0.1364
"47","Chamchamalidp",0.5471
"49","Tikritidp",1.8605
"50","Tikritidp_camp",0.0965
"52","Baladroozidp",0.172
"53","Muqdadiyareturnee",0.1734
"54","Mosulidp_camp",2.0073
"56","Kirkukidp",4.0023
"57","Hamdaniyaidp",5.8926
"59","Erbilidp_camp",0.187
"60","Nassriyaidp",0.1055
"64","Ramadiidp",0.3572
"65","Makhmuridp_camp",0.2582
"70","Khanaqinidp_camp",0.4041
"72","Zakhoidp",2.3363
"77","Telafarreturnee",2.3011
"78","Sulaymaniyaidp",2.9371
"79","Shikhanidp_camp",1.336
"80","Dokanidp",0.19
"82","Mosulidp_camp",7.206
"83","Khanaqinidp",0.6241
"84","Ramadiidp_camp",0.3761
"85","Abu Ghraibidp",0.4404
"86","Daquqidp_camp",0.3725
"87","Ru'uareturnee",0.1315
"90","Kaimreturnee",0.1853
"92","Mahawilidp",0.287
"93","Tikritidp_camp",0.4097
"94","Sumelidp_camp",1.6212
"97","Daquqidp_camp",0.3973
"102","Akreidp",0.9113
"106","Kerbalaidp",0.7468
"107","Resafaidp",0.3581
"109","Hawigareturnee",1.0083
"111","Shikhanidp_camp",0.1121
"112","Abu Ghraibidp_camp",0.1091
"113","Hamdaniyaidp_camp",0.4503
"114","Muqdadiyaidp",0.8096
"116","Mosulidp",1.9825
"119","Dabesreturnee",0.0586
"123","Khanaqinidp_camp",0.1586
"126","Shaqlawaidp",0.2546
"127","Mosulreturnee",4.5731
"129","Diwaniyaidp",0.261
"133","Hamdaniyaidp_camp",2.8106
"134","Samarrareturnee",0.205
"135","Shikhanidp_camp",0.4179
"141","Zakhoidp_camp",2.2915
"143","Fallujaidp",0.3629
"151","Dabesidp",0.1202
"155","Tilkaifreturnee",0.7186
"162","Dokanidp_camp",0.1579
"163","Baijireturnee",0.1167
"164","Baladreturnee",0.4087
"165","Hamdaniyaidp_camp",0.6325
"166","Shirqatidp",0.2715
"169","Kifrireturnee",0.0446
"170","Mosulidp_camp",2.1642
"171","Ba'qubaidp",0.1413
"172","Sumelidp_camp",0.7608
"175","Toozidp",1.2271
"177","Shikhanidp_camp",0.8174
"180","Najafidp",0.7132
"188","Shikhanreturnee",0.0199
"190","Rutbareturnee",0.2287
"194","Mahmoudiyaidp",0.2458
"197","Hadithareturnee",0.1956
"201","Fallujaidp_camp",1.0265
"204","Hindiyaidp_camp",0.1016
"220","Hamdaniyareturnee",2.8457
"223","Sumelidp_camp",1.2654
"227","Toozreturnee",0.2705
"231","Soranidp",0.1705
"232","Tikritreturnee",1.6936
"236","Khanaqinreturnee",1.1793
"239","Raniaidp",0.139
"241","Karkhidp",1.6244
"250","Daurreturnee",0.643
"256","Makhmuridp_camp",0.8902
"257","Sumelidp_camp",1.277
"283","Halabjaidp",0.1915
"291","Kalaridp_camp",0.2268
"301","Hindiyaidp",0.7468
"302","Abu Ghraibidp_camp",0.083
"305","Khanaqinidp_camp",0.1579
"327","Zakhoidp_camp",0.8274
"333","Mahmoudiyareturnee",0.3436
"347","Amaraidp",0.11
"349","Daquqreturnee",0.121
"365","Sulaymaniyaidp_camp",1.2659
"371","Erbilidp_camp",0.4937
"372","Sulaymaniyaidp_camp",0.2202
"378","Hamdaniyaidp_camp",0.7935
"397","Shirqatidp_camp",0.1788
"403","Hashimiyaidp",0.08
"422","Ramadiidp_camp",0.1908
"491","Koisnjaqidp",0.2426
"528","Kufaidp",0.7132
"570","Fallujaidp_camp",1.6185
"601","Sumelidp_camp",1.5692
"640","Musayabidp",0.4193
"799","Mada'inidp_camp",0.0775
"833","Suwairaidp",0.2859
"882","Na'maniyaidp",0.2859
"898","Akreidp_camp",0.2078
"1155","Hillaidp",0.3678
"1182","Azeziaidp",0.2859
"1402","Hamzaidp",0.261
"2118","Erbilidp_camp",0.9965
"2464","Afaqidp",0.261
"4631","Shamiyaidp",0.261
